plateid	sample	well	sampleAmount_uL	sampleConc_mM
E3P00000776	SJ000312343-2	A01	50	10
E3P00000776	SJ000285285-13	B01	50	10.333
E3P00000776	SJ000312344-5	C01	50	11.75
E3P00000776	SJ000986010-1	D01	50	8.667
E3P00000776	SJ000982892-2	E01	50	10
E3P00000776	SJ000312345-16	F01	50	9
E3P00000776	SJ000285787-7	G01	50	10
E3P00000776	SJ000312371-8	H01	50	11
E3P00000776	SJ000110842-9	I01	50	5.5
E3P00000776	SJ000312363-15	J01	50	8.5
E3P00000776	SJ000312327-8	K01	50	10
E3P00000776	SJ000832248-2	L01	50	8.6
E3P00000776	SJ000782329-3	M01	50	8.5
E3P00000776	SJ000541096-3	N01	50	10
E3P00000776	SJ000312317-9	O01	50	10
E3P00000776	SJ000285696-8	P01	50	11
E3P00000776	SJ000312343-2	A02	50	0.33333333
E3P00000776	SJ000285285-13	B02	50	0.34443333
E3P00000776	SJ000312344-5	C02	50	0.39166667
